ID,Type,Location,Date,NatType,FieldType,FeedlotStatus,FeedlotTypeStatus
CB_N021,Catch.Basin,Nanton,25-06-14,None,None,TRUE,TRUE
CB_N001,Catch.Basin,Nanton,28-04-14,None,None,TRUE,TRUE
CB_N002,Catch.Basin,Nanton,28-04-14,None,None,TRUE,TRUE
CB_N022,Catch.Basin,Nanton,25-06-14,None,None,TRUE,TRUE
CB_S008,Catch.Basin,Iron.Springs,12-05-14,None,None,TRUE,TRUE
CB_S043,Catch.Basin,Iron.Springs,15-09-14,None,None,TRUE,TRUE
CB_S026,Catch.Basin,Iron.Springs,07-07-14,None,None,TRUE,TRUE
CB_V011,Catch.Basin,Vegreville,26-05-14,Natural,None,TRUE,TRUE
CB_V012,Catch.Basin,Vegreville,26-05-14,Conventional,None,TRUE,TRUE
CB_V027,Catch.Basin,Vegreville,14-07-14,Natural,None,TRUE,TRUE
CB_V028,Catch.Basin,Vegreville,14-07-14,Conventional,None,TRUE,TRUE
CB_A018,Catch.Basin,Acme,09-06-14,None,None,TRUE,TRUE
CB_A038,Catch.Basin,Acme,11-08-14,None,None,TRUE,TRUE
FC_007_N013,Fecal.Composite,Nanton,28-04-14,None,None,TRUE,TRUE
FC_008_N013,Fecal.Composite,Nanton,28-04-14,None,None,TRUE,TRUE
FC_006_A062,Fecal.Composite,Acme,09-06-14,None,None,TRUE,TRUE
FC_007_A062,Fecal.Composite,Acme,09-06-14,None,None,TRUE,TRUE
FC_007_S040,Fecal.Composite,Iron.Springs,12-05-14,None,None,TRUE,TRUE
FC_008_S040,Fecal.Composite,Iron.Springs,12-05-14,None,None,TRUE,TRUE
FC_006_A070,Fecal.Composite,Acme,09-06-14,None,None,TRUE,TRUE
FC_007_A070,Fecal.Composite,Acme,09-06-14,None,None,TRUE,TRUE
FC_006_V053,Fecal.Composite,Vegreville,26-05-14,Conventional,None,TRUE,TRUE
FC_007_V053,Fecal.Composite,Vegreville,26-05-14,Conventional,None,TRUE,TRUE
FC_007_N003,Fecal.Composite,Nanton,28-04-14,None,None,TRUE,TRUE
FC_008_N003,Fecal.Composite,Nanton,28-04-14,None,None,TRUE,TRUE
FC_007_S034,Fecal.Composite,Iron.Springs,12-05-14,None,None,TRUE,TRUE
FC_008_S034,Fecal.Composite,Iron.Springs,12-05-14,None,None,TRUE,TRUE
FC_006_V046,Fecal.Composite,Vegreville,26-05-14,Conventional,None,TRUE,TRUE
FC_007_V046,Fecal.Composite,Vegreville,26-05-14,Conventional,None,TRUE,TRUE
FC_Con_V055,Fecal.Composite,Vegreville,26-05-14,Conventional,None,TRUE,TRUE
FC_Nat_V042,Fecal.Composite,Vegreville,26-05-14,Natural,None,TRUE,TRUE
FC_Nat_V052,Fecal.Composite,Vegreville,26-05-14,Natural,None,TRUE,TRUE
FC_Nat_V045,Fecal.Composite,Vegreville,26-05-14,Natural,None,TRUE,TRUE
ST_C053,Sewage.Treatment,Calgary,20-10-14,None,None,FALSE,FALSE
ST_C039,Sewage.Treatment,Calgary,25-08-14,None,None,FALSE,FALSE
ST_M050,Sewage.Treatment,Medicine.Hat,14-10-14,None,None,FALSE,FALSE
ST_M060,Sewage.Treatment,Medicine.Hat,26-11-14,None,None,FALSE,FALSE
ST_M029,Sewage.Treatment,Medicine.Hat,21-07-14,None,None,FALSE,FALSE
ST_C062,Sewage.Treatment,Calgary,15-12-14,None,None,FALSE,FALSE
Soil_N_EF_20May15_006,Soil,Nanton,20-05-15,None,East.Field,TRUE,FALSE
Soil_N_WF_20May15_006,Soil,Nanton,20-05-15,None,West.Field,TRUE,FALSE
Soil_N_EF_02May14_006,Soil,Nanton,02-05-14,None,East.Field,TRUE,FALSE
Soil_N_WF_02May14_006,Soil,Nanton,02-05-14,None,West.Field,TRUE,FALSE
Soil_N_EF_20May15_007,Soil,Nanton,20-05-15,None,East.Field,TRUE,FALSE
Soil_N_WF_20May15_007,Soil,Nanton,20-05-15,None,West.Field,TRUE,FALSE
Soil_N_EF_02May14_007,Soil,Nanton,02-05-14,None,East.Field,TRUE,FALSE
Soil_N_WF_02May14_007,Soil,Nanton,02-05-14,None,West.Field,TRUE,FALSE
